Country/Region,Confirmed,Deaths,Recovered,Active,WHO Region,Hemisphere,Season
Afghanistan,0,0,0,0,Eastern Mediterranean,Northern,Winter
Albania,0,0,0,0,Europe,Northern,Winter
Algeria,0,0,0,0,Africa,Northern,Winter
Andorra,0,0,0,0,Europe,Northern,Winter
Angola,0,0,0,0,Africa,Southern,Summer
Antigua and Barbuda,0,0,0,0,Americas,Northern,Winter
Argentina,0,0,0,0,Americas,Southern,Summer
Armenia,0,0,0,0,Europe,Northern,Winter
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Austria,0,0,0,0,Europe,Northern,Winter
Azerbaijan,0,0,0,0,Europe,Northern,Winter
Bahamas,0,0,0,0,Americas,Northern,Winter
Bahrain,0,0,0,0,Eastern Mediterranean,Northern,Winter
Bangladesh,0,0,0,0,South-East Asia,Northern,Winter
Barbados,0,0,0,0,Americas,Northern,Winter
Belarus,0,0,0,0,Europe,Northern,Winter
Belgium,0,0,0,0,Europe,Northern,Winter
Benin,0,0,0,0,Africa,Northern,Winter
Bhutan,0,0,0,0,South-East Asia,Northern,Winter
Bolivia,0,0,0,0,Americas,Southern,Summer
Bosnia and Herzegovina,0,0,0,0,Europe,Northern,Winter
Brazil,0,0,0,0,Americas,Southern,Summer
Brunei,0,0,0,0,Western Pacific,Northern,Winter
Bulgaria,0,0,0,0,Europe,Northern,Winter
Burkina Faso,0,0,0,0,Africa,Northern,Winter
Cabo Verde,0,0,0,0,Africa,Northern,Winter
Cambodia,0,0,0,0,Western Pacific,Northern,Winter
Cameroon,0,0,0,0,Africa,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Central African Republic,0,0,0,0,Africa,Northern,Winter
Chad,0,0,0,0,Africa,Northern,Winter
Chile,0,0,0,0,Americas,Southern,Summer
China,1,0,0,1,Western Pacific,Northern,Winter
China,14,0,0,14,Western Pacific,Northern,Winter
China,6,0,0,6,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,26,0,0,26,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,4,0,0,4,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,5,0,0,5,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,444,17,28,399,Western Pacific,Northern,Winter
China,4,0,0,4,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,9,0,0,9,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,5,0,0,5,Western Pacific,Northern,Winter
China,4,0,0,4,Western Pacific,Northern,Winter
