Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Total cases,Total deaths,Total recovered,Total active,Active / 100 Cases
Afghanistan,36263.0,1269.0,25198.0,9796.0,106.0,10.0,18.0,3.5,69.49,5.04,35526.0,737.0,2.07,Eastern Mediterranean,36369.0,1279.0,25216.0,9874.0,27.010000000000005
Albania,4880.0,144.0,2745.0,1991.0,117.0,6.0,63.0,2.95,56.25,5.25,4171.0,709.0,17.0,Europe,4997.0,150.0,2808.0,2039.0,40.8
Algeria,27973.0,1163.0,18837.0,7973.0,616.0,8.0,552.5,4.16,67.34,6.17,23691.0,4282.0,18.07,Africa,28589.0,1171.0,19389.5,8028.5,28.5
Andorra,907.0,52.0,803.0,52.0,10.0,0.0,0.0,5.73,88.53,6.48,884.0,23.0,2.6,Europe,917.0,52.0,803.0,62.0,5.739999999999995
Angola,950.0,41.0,242.0,667.0,18.0,1.0,0.0,4.32,25.47,13.925,749.0,201.0,26.84,Africa,968.0,42.0,242.0,684.0,70.21000000000001
Antigua and Barbuda,86.0,3.0,65.0,18.0,4.0,0.0,5.0,3.49,75.58,4.62,76.0,10.0,13.16,Americas,90.0,3.0,70.0,17.0,20.930000000000007
Argentina,99480.25,1807.25,55575.25,22660.25,1042.75,15.0,552.5,1.83,43.35,4.21,91124.0,7856.5,28.02,Americas,100523.0,1822.25,56127.75,42573.0,54.82
Armenia,37390.0,711.0,26665.0,10014.0,73.0,6.0,187.0,1.9,71.32,2.67,34981.0,2409.0,6.89,Europe,37463.0,717.0,26852.0,9894.0,26.78
Australia,15303.0,167.0,9311.0,5825.0,368.0,6.0,137.0,1.09,60.84,1.79,12428.0,2875.0,23.13,Western Pacific,15671.0,173.0,9448.0,6050.0,38.06999999999999
Austria,20558.0,713.0,18246.0,1599.0,86.0,1.0,37.0,3.47,88.75,3.91,19743.0,815.0,4.13,Europe,20644.0,714.0,18283.0,1647.0,7.780000000000001
Azerbaijan,30446.0,423.0,23242.0,6781.0,396.0,6.0,552.5,1.39,76.34,1.82,27890.0,2556.0,9.16,Europe,30842.0,429.0,23794.5,6618.5,22.269999999999996
Bahamas,382.0,11.0,91.0,280.0,40.0,0.0,0.0,2.88,23.82,12.09,174.0,208.0,37.975,Americas,422.0,11.0,91.0,320.0,73.3
Bahrain,39482.0,141.0,36110.0,3231.0,351.0,1.0,421.0,0.36,91.46,0.39,36936.0,2546.0,6.89,Eastern Mediterranean,39833.0,142.0,36531.0,3160.0,8.180000000000007
Bangladesh,99480.25,1807.25,55575.25,22660.25,1042.75,15.0,552.5,1.31,55.56,2.36,91124.0,7856.5,9.05,South-East Asia,100523.0,1822.25,56127.75,42573.0,43.129999999999995
Barbados,110.0,7.0,94.0,9.0,0.0,0.0,0.0,6.36,85.45,7.45,106.0,4.0,3.77,Americas,110.0,7.0,94.0,9.0,8.189999999999998
Belarus,67251.0,538.0,55575.25,6221.0,119.0,4.0,67.0,0.8,89.95,0.89,66213.0,1038.0,1.57,Europe,67370.0,542.0,55642.25,11185.75,9.25
Belgium,66428.0,1807.25,17452.0,22660.25,402.0,1.0,14.0,8.27,26.27,13.925,64094.0,2334.0,3.64,Europe,66830.0,1808.25,17466.0,47555.75,65.46000000000001
Belize,48.0,2.0,26.0,20.0,0.0,0.0,0.0,4.17,54.17,7.69,40.0,8.0,20.0,Americas,48.0,2.0,26.0,20.0,41.66
Benin,1770.0,35.0,1036.0,699.0,0.0,0.0,0.0,1.98,58.53,3.38,1602.0,168.0,10.49,Africa,1770.0,35.0,1036.0,699.0,39.49
Bhutan,99.0,0.0,86.0,13.0,4.0,0.0,1.0,0.0,86.87,0.0,90.0,9.0,10.0,South-East Asia,103.0,0.0,87.0,16.0,13.129999999999995
Bolivia,71181.0,1807.25,21478.0,22660.25,1042.75,15.0,309.0,3.72,30.17,12.32,60991.0,7856.5,16.71,Americas,72223.75,1822.25,21787.0,48614.5,66.11
Bosnia and Herzegovina,10498.0,294.0,4930.0,5274.0,731.0,14.0,375.0,2.8,46.96,5.96,8479.0,2019.0,23.81,Europe,11229.0,308.0,5305.0,5616.0,50.24
Botswana,739.0,2.0,63.0,674.0,53.0,1.0,11.0,0.27,8.53,3.17,522.0,217.0,37.975,Africa,792.0,3.0,74.0,715.0,91.2
Brazil,99480.25,1807.25,55575.25,22660.25,1042.75,15.0,552.5,3.59,75.61,4.74,91124.0,7856.5,15.28,Americas,100523.0,1822.25,56127.75,42573.0,20.799999999999997
