Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,Total death,Total recovered,Total cases
2020-01-22,555,17,28.0,510,0,0,0.0,3.06,5.05,48.88125,6,17,28.0,555
2020-01-23,654,18,30.0,606,99,1,2.0,2.75,4.59,48.88125,8,19,32.0,753
2020-01-24,941,26,36.0,879,287,8,6.0,2.76,3.83,48.88125,9,34,42.0,1228
2020-01-25,1434,42,39.0,1353,493,16,3.0,2.93,2.72,48.88125,11,58,42.0,1927
2020-01-26,2118,56,52.0,2010,684,14,13.0,2.64,2.46,48.88125,13,70,65.0,2802
2020-01-27,2927,82,61.0,2784,809,26,9.0,2.8,2.08,48.88125,16,108,70.0,3736
2020-01-28,5578,131,107.0,5340,2651,49,46.0,2.35,1.92,48.88125,16,180,153.0,8229
2020-01-29,6166,133,125.0,5908,588,2,18.0,2.16,2.03,48.88125,18,135,143.0,6754
2020-01-30,8234,171,141.0,7922,2068,38,16.0,2.08,1.71,48.88125,20,209,157.0,10302
2020-01-31,9927,213,219.0,9495,1693,42,78.0,2.15,2.21,48.88125,24,255,297.0,11620
2020-02-01,12038,259,281.0,11498,2111,46,62.0,2.15,2.33,48.88125,25,305,343.0,14149
2020-02-02,16787,362,459.0,15966,4749,103,178.0,2.16,2.73,48.88125,25,465,637.0,21536
2020-02-03,19887,426,604.0,18857,3100,64,145.0,2.14,3.04,48.88125,25,490,749.0,22987
2020-02-04,23898,492,821.0,22585,4011,66,217.0,2.06,3.44,48.88125,26,558,1038.0,27909
2020-02-05,27643,564,1071.0,26008,3745,72,250.0,2.04,3.87,48.88125,26,636,1321.0,31388
2020-02-06,30802,634,1418.0,28750,3159,70,347.0,2.06,4.6,44.71,26,704,1765.0,33961
2020-02-07,34334,719,1903.0,31712,3532,85,485.0,2.09,5.54,37.78,26,804,2388.0,37866
2020-02-08,37068,806,2470.0,33792,2734,87,567.0,2.17,6.66,32.63,26,893,3037.0,39802
2020-02-09,40095,906,3057.0,36132,3027,100,587.0,2.26,7.62,29.64,26,1006,3644.0,43122
2020-02-10,42633,1013,3714.0,37906,2538,107,657.0,2.38,8.71,27.28,26,1120,4371.0,45171
2020-02-11,44675,1113,4417.0,39145,2042,100,703.0,2.49,9.89,25.2,26,1213,5120.0,46717
2020-02-12,46561,1118,4849.0,40594,1886,5,432.0,2.4,10.41,23.06,26,1123,5281.0,48447
2020-02-13,60206,1371,5930.0,52905,13645,253,1081.0,2.28,9.85,23.12,26,1624,7011.0,73851
2020-02-14,66690,1523,7613.0,57554,6484,152,1683.0,2.28,11.42,20.01,27,1675,9296.0,73174
2020-02-15,68765,1666,8902.0,58197,2075,143,1289.0,2.42,12.95,18.71,27,1809,10191.0,70840
2020-02-16,70879,1770,10319.0,58790,2114,104,1417.0,2.5,14.56,17.15,27,1874,11736.0,72993
2020-02-17,72815,1868,11951.0,58996,1936,98,1632.0,2.57,16.41,15.63,27,1966,13583.0,74751
2020-02-18,74609,2008,13693.0,58908,1794,140,1742.0,2.69,18.35,14.66,27,2148,15435.0,76403
